Monitoring outputs/han_deberta_large_full/training_log.jsonl every 300s
Press Ctrl+C to stop

[20:03:35] No log entries yet. Process alive: True
[11:23:50] epoch=2 step=4800 loss=0.6751 | process=ALIVE
[11:28:50] epoch=2 step=4950 loss=0.6748 | process=ALIVE
[11:33:50] epoch=2 step=5150 loss=0.6748 | process=ALIVE
[11:38:50] epoch=2 step=5300 loss=0.6745 | process=ALIVE
[11:43:50] epoch=2 step=5450 loss=0.6743 | process=ALIVE
[11:48:50] epoch=2 step=5600 loss=0.6747 | process=ALIVE
[11:53:50] epoch=2 step=5800 loss=0.6748 | process=ALIVE
[11:58:50] epoch=2 step=5950 loss=0.6747 | process=ALIVE
[12:03:50] epoch=2 step=6100 loss=0.6748 | process=ALIVE
[12:08:50] epoch=2 step=6300 loss=0.6747 | process=ALIVE
[12:13:50] epoch=2 step=6500 loss=0.6743 | process=ALIVE
[12:18:50] epoch=2 step=6700 loss=0.6742 | process=ALIVE
[12:23:50] epoch=2 step=6950 loss=0.6742 | process=ALIVE
[12:28:51] epoch=2 step=7200 loss=0.6742 | process=ALIVE
[12:33:51] epoch=2 step=7450 loss=0.6739 | process=ALIVE
[12:38:51] epoch=2 step=7700 loss=0.6741 | process=ALIVE
[12:43:51] epoch=2 step=7900 loss=0.6742 | process=ALIVE
[12:48:51] epoch=2 step=8150 loss=0.6741 | process=ALIVE
[12:53:51] epoch=2 step=8350 loss=0.6737 | process=ALIVE
[12:58:51] epoch=2 step=8550 loss=0.6739 | process=ALIVE
[13:03:51] epoch=2 step=8800 loss=0.674 | process=ALIVE
[13:08:51] epoch=2 step=9000 loss=0.6741 | process=ALIVE
[13:13:51] epoch=2 step=9200 loss=0.6742 | process=ALIVE
[13:18:51] epoch=2 step=9450 loss=0.6741 | process=ALIVE
[13:23:51] epoch=2 step=9650 loss=0.674 | process=ALIVE
[13:28:51] epoch=2 step=9850 loss=0.674 | process=ALIVE
[13:33:51] epoch=2 step=10100 loss=0.6737 | process=ALIVE
[13:38:51] epoch=2 step=10300 loss=0.6737 | process=ALIVE
[13:43:51] epoch=2 step=10500 loss=0.6738 | process=ALIVE
[13:48:52] epoch=2 step=10750 loss=0.6738 | process=ALIVE
[13:53:52] epoch=2 step=10950 loss=0.6738 | process=ALIVE
[13:58:52] epoch=2 step=11150 loss=0.6739 | process=ALIVE
[14:03:52] epoch=2 step=11400 loss=0.6739 | process=ALIVE
[14:08:52] epoch=2 step=11600 loss=0.6741 | process=ALIVE
[14:13:52] epoch=2 step=11800 loss=0.6739 | process=ALIVE
[14:18:52] epoch=2 step=12050 loss=0.6739 | process=ALIVE
[14:23:52] epoch=2 step=12250 loss=0.674 | process=ALIVE
[14:28:52] epoch=2 step=12500 loss=0.674 | process=ALIVE
[14:33:52] epoch=2 step=12750 loss=0.6738 | process=ALIVE
[14:38:52] epoch=2 step=12950 loss=0.674 | process=ALIVE
[14:43:52] epoch=2 step=13200 loss=0.674 | process=ALIVE
[14:48:52] epoch=2 step=13450 loss=0.674 | process=ALIVE
[14:53:52] epoch=2 step=13700 loss=0.6741 | process=ALIVE
[14:58:52] epoch=2 step=13900 loss=0.6742 | process=ALIVE
[15:03:52] epoch=2 step=14150 loss=0.6741 | process=ALIVE
[15:08:52] epoch=2 step=14350 loss=0.674 | process=ALIVE
[15:13:52] epoch=2 step=14600 loss=0.674 | process=ALIVE
[15:18:52] epoch=2 step=14800 loss=0.6742 | process=ALIVE
[15:23:52] epoch=2 step=15000 loss=0.6742 | process=ALIVE
[15:28:52] epoch=2 step=15200 loss=0.6741 | process=ALIVE
[15:33:53] epoch=2 step=15400 loss=0.6742 | process=ALIVE
[15:38:53] epoch=2 step=15650 loss=0.6742 | process=ALIVE
[15:43:53] epoch=2 step=15850 loss=0.6742 | process=ALIVE
[15:48:53] epoch=2 step=16050 loss=0.6742 | process=ALIVE
[15:53:53] epoch=2 step=16200 loss=0.6741 | process=ALIVE
[15:58:53] epoch=3 step=100 loss=0.6801 | process=ALIVE
  -> Epoch 2 complete: loss=0.6741 dev_acc=0.5546
[16:03:53] epoch=3 step=300 loss=0.6758 | process=ALIVE
[16:08:53] epoch=3 step=500 loss=0.681 | process=ALIVE
